id,created_at,updated_at,cart_id,inventory_id,offer_id,delivery_fee,is_updated_price,currency,deleted_at
523,2021-02-25 16:15:20.000,2021-02-25 16:15:20.000,385,809,NULL,0.00,0,SGD,NULL
524,2021-02-25 16:16:50.000,2021-02-25 16:16:50.000,385,598,NULL,0.00,0,SGD,NULL
525,2021-02-25 16:17:50.000,2023-11-21 00:55:27.000,385,586,NULL,0.00,1,SGD,NULL
526,2021-02-25 16:18:21.000,2021-02-25 16:18:21.000,385,543,NULL,0.00,0,SGD,NULL
527,2021-02-25 16:18:40.000,2021-02-25 16:18:40.000,385,539,NULL,0.00,0,SGD,NULL
528,2021-02-25 16:19:17.000,2021-02-25 16:19:17.000,385,533,NULL,0.00,0,SGD,NULL
529,2021-02-25 16:21:30.000,2021-02-25 16:21:30.000,385,365,NULL,0.00,0,SGD,NULL
530,2021-02-25 16:22:02.000,2021-02-25 16:22:02.000,385,358,NULL,0.00,0,SGD,NULL
531,2021-02-25 16:24:25.000,2021-02-25 16:24:25.000,385,252,NULL,0.00,0,SGD,NULL
532,2021-02-25 16:25:18.000,2021-02-25 16:25:18.000,385,124,NULL,0.00,0,SGD,NULL
535,2021-02-27 02:08:49.000,2021-02-27 02:08:49.000,438,123,NULL,0.00,0,SGD,NULL
537,2021-02-27 07:34:34.000,2021-02-27 07:35:41.000,440,848,NULL,200.00,0,SGD,NULL
541,2021-02-27 10:48:44.000,2021-02-27 10:48:44.000,443,232,NULL,0.00,0,SGD,NULL
546,2021-02-28 11:08:52.000,2021-02-28 11:08:52.000,226,111,NULL,0.00,0,SGD,NULL
547,2021-03-01 01:46:30.000,2021-03-01 01:46:30.000,310,724,NULL,0.00,0,SGD,NULL
548,2021-03-01 01:46:39.000,2021-03-01 01:46:39.000,310,723,NULL,0.00,0,SGD,NULL
559,2021-03-01 11:05:42.000,2021-03-01 11:05:42.000,458,865,NULL,0.00,0,SGD,NULL
562,2021-03-01 13:10:29.000,2021-03-01 13:13:44.000,460,148,NULL,200.00,0,SGD,NULL
570,2021-03-02 10:14:45.000,2021-03-02 10:14:45.000,484,618,NULL,0.00,0,SGD,NULL
572,2021-03-02 10:36:20.000,2021-03-02 10:36:20.000,431,853,NULL,0.00,0,SGD,NULL
574,2021-03-02 13:23:40.000,2021-03-02 13:23:40.000,418,618,NULL,0.00,0,SGD,NULL
575,2021-03-02 13:23:51.000,2021-03-02 13:23:51.000,418,588,NULL,0.00,0,SGD,NULL
581,2021-03-02 16:52:01.000,2021-03-02 16:52:01.000,179,812,NULL,0.00,0,SGD,NULL
583,2021-03-03 00:52:25.000,2021-03-03 00:52:25.000,486,291,NULL,0.00,0,SGD,NULL
584,2021-03-03 00:58:17.000,2021-03-03 00:58:17.000,486,99,NULL,0.00,0,SGD,NULL
588,2021-03-03 05:48:39.000,2021-03-03 05:50:01.000,487,565,NULL,300.00,0,SGD,NULL
591,2021-03-03 06:17:09.000,2021-03-03 06:17:09.000,160,878,NULL,0.00,0,SGD,NULL
594,2021-03-03 17:22:50.000,2021-03-03 17:22:50.000,431,396,NULL,0.00,0,SGD,NULL
602,2021-03-04 15:13:16.000,2021-03-04 15:13:16.000,431,147,NULL,0.00,0,SGD,NULL
615,2021-03-05 13:55:06.000,2021-03-05 13:59:38.000,512,879,NULL,0.00,0,SGD,NULL
617,2021-03-05 14:53:43.000,2021-03-05 14:53:43.000,514,879,NULL,0.00,0,SGD,NULL
618,2021-03-05 14:54:32.000,2021-03-05 14:54:32.000,514,535,NULL,0.00,0,SGD,NULL
619,2021-03-05 14:55:26.000,2021-03-05 14:55:26.000,514,723,NULL,0.00,0,SGD,NULL
623,2021-03-05 19:36:59.000,2021-03-05 19:36:59.000,516,190,NULL,0.00,0,SGD,NULL
624,2021-03-06 00:01:32.000,2021-03-06 00:01:32.000,517,322,NULL,0.00,0,SGD,NULL
625,2021-03-06 00:02:37.000,2021-03-06 00:02:37.000,517,291,NULL,0.00,0,SGD,NULL
627,2021-03-06 04:48:09.000,2021-03-06 04:48:09.000,305,422,NULL,0.00,0,SGD,NULL
628,2021-03-06 04:48:45.000,2021-03-06 04:48:45.000,305,396,NULL,0.00,0,SGD,NULL
629,2021-03-06 05:50:23.000,2021-03-06 05:50:23.000,169,799,NULL,0.00,0,SGD,NULL
635,2021-03-06 10:05:38.000,2021-03-06 10:05:38.000,522,872,NULL,0.00,0,SGD,NULL
638,2021-03-06 15:43:50.000,2021-03-06 15:43:50.000,526,600,NULL,0.00,0,SGD,NULL
641,2021-03-07 09:27:36.000,2021-03-07 09:27:36.000,531,146,NULL,0.00,0,SGD,NULL
642,2021-03-07 09:29:41.000,2021-03-07 09:29:41.000,531,885,NULL,0.00,0,SGD,NULL
644,2021-03-07 11:16:42.000,2021-03-07 11:16:42.000,534,879,NULL,0.00,0,SGD,NULL
645,2021-03-07 11:18:38.000,2021-03-07 11:18:38.000,426,758,126,0.00,0,SGD,NULL
649,2021-03-08 01:53:33.000,2021-03-08 01:53:33.000,536,889,127,0.00,0,SGD,NULL
652,2021-03-08 04:58:12.000,2021-03-08 04:58:12.000,203,874,NULL,0.00,0,SGD,NULL
653,2021-03-08 04:58:18.000,2021-03-08 04:58:18.000,203,860,NULL,0.00,0,SGD,NULL
654,2021-03-08 04:58:31.000,2021-03-08 04:58:31.000,203,831,NULL,0.00,0,SGD,NULL
655,2021-03-08 04:58:41.000,2021-03-08 04:58:41.000,203,821,NULL,0.00,0,SGD,NULL
656,2021-03-08 04:58:50.000,2021-03-08 04:58:50.000,203,818,NULL,0.00,0,SGD,NULL
657,2021-03-08 04:58:55.000,2021-03-08 04:58:55.000,203,815,NULL,0.00,0,SGD,NULL
658,2021-03-08 04:59:00.000,2021-03-08 04:59:00.000,203,814,NULL,0.00,0,SGD,NULL
659,2021-03-08 05:00:04.000,2021-03-08 05:00:04.000,203,573,NULL,0.00,0,SGD,NULL
660,2021-03-08 05:00:32.000,2021-03-08 05:00:32.000,203,572,NULL,0.00,0,SGD,NULL
661,2021-03-08 05:00:44.000,2021-03-08 05:00:44.000,203,548,NULL,0.00,0,SGD,NULL
662,2021-03-08 05:00:52.000,2021-03-08 05:00:52.000,203,484,NULL,0.00,0,SGD,NULL
663,2021-03-08 05:00:57.000,2023-09-15 13:50:59.000,203,483,NULL,0.00,1,SGD,NULL
664,2021-03-08 05:01:13.000,2021-03-08 05:01:13.000,203,428,NULL,0.00,0,SGD,NULL
665,2021-03-08 05:01:48.000,2021-03-08 05:01:48.000,203,330,NULL,0.00,0,SGD,NULL
668,2021-03-08 06:09:58.000,2021-03-08 06:09:58.000,203,893,NULL,0.00,0,SGD,NULL
669,2021-03-08 06:46:44.000,2021-03-08 06:46:44.000,546,455,NULL,0.00,0,SGD,NULL
670,2021-03-08 06:47:03.000,2021-03-08 06:47:03.000,546,723,NULL,0.00,0,SGD,NULL
672,2021-03-08 11:32:59.000,2021-03-08 11:32:59.000,549,354,NULL,0.00,0,SGD,NULL
674,2021-03-08 17:08:26.000,2021-03-08 17:08:26.000,551,799,NULL,0.00,0,SGD,NULL
675,2021-03-08 18:17:44.000,2021-03-08 18:17:44.000,223,148,NULL,0.00,0,SGD,NULL
680,2021-03-09 11:36:18.000,2021-03-09 11:36:18.000,560,768,NULL,0.00,0,SGD,NULL
681,2021-03-09 11:36:43.000,2021-03-09 11:36:43.000,560,218,NULL,0.00,0,SGD,NULL
682,2021-03-09 11:38:54.000,2021-03-09 11:38:54.000,560,130,NULL,0.00,0,SGD,NULL
684,2021-03-09 12:56:10.000,2021-03-09 12:56:10.000,203,891,NULL,0.00,0,SGD,NULL
685,2021-03-09 13:42:18.000,2021-03-09 13:42:18.000,404,748,NULL,0.00,0,SGD,NULL
686,2021-03-10 05:40:55.000,2021-03-10 09:20:59.000,564,671,NULL,0.00,0,SGD,NULL
688,2021-03-10 08:21:32.000,2021-03-10 08:21:32.000,153,890,NULL,0.00,0,SGD,NULL
693,2021-03-10 15:14:25.000,2021-03-10 15:14:25.000,564,891,NULL,0.00,0,SGD,NULL
710,2021-03-12 05:25:22.000,2021-03-12 05:25:22.000,581,889,NULL,0.00,0,SGD,NULL
718,2021-03-12 12:39:00.000,2021-03-12 12:39:00.000,585,866,NULL,0.00,0,SGD,NULL
719,2021-03-12 12:39:45.000,2021-03-12 12:39:45.000,585,648,NULL,0.00,0,SGD,NULL
720,2021-03-12 12:44:26.000,2021-03-12 12:44:26.000,585,417,NULL,0.00,0,SGD,NULL
721,2021-03-12 13:18:23.000,2021-03-12 13:18:23.000,153,729,NULL,0.00,0,SGD,NULL
723,2021-03-12 16:24:08.000,2021-03-12 16:24:08.000,513,873,NULL,0.00,0,SGD,NULL
724,2021-03-12 16:33:29.000,2021-03-12 17:47:16.000,587,812,139,0.00,0,SGD,NULL
725,2021-03-12 16:43:50.000,2021-03-12 16:43:50.000,203,638,NULL,0.00,0,SGD,NULL
728,2021-03-13 07:48:54.000,2021-03-13 07:48:54.000,404,216,NULL,0.00,0,SGD,NULL
729,2021-03-13 11:03:48.000,2021-03-13 11:03:48.000,381,919,NULL,0.00,0,SGD,NULL
730,2021-03-13 11:05:02.000,2021-03-13 11:05:02.000,381,833,NULL,0.00,0,SGD,NULL
731,2021-03-13 12:59:51.000,2021-03-13 12:59:51.000,546,589,NULL,0.00,0,SGD,NULL
732,2021-03-13 13:00:20.000,2021-03-13 13:00:20.000,546,569,NULL,0.00,0,SGD,NULL
733,2021-03-13 13:04:49.000,2021-03-13 13:04:49.000,546,463,NULL,0.00,0,SGD,NULL
734,2021-03-13 13:06:39.000,2021-03-13 13:06:39.000,546,298,NULL,0.00,0,SGD,NULL
735,2021-03-13 13:08:14.000,2021-03-13 13:08:14.000,546,146,NULL,0.00,0,SGD,NULL
738,2021-03-14 01:16:20.000,2021-03-14 01:16:20.000,594,616,NULL,0.00,0,SGD,NULL
739,2021-03-14 01:17:25.000,2021-03-14 01:17:25.000,594,593,NULL,0.00,0,SGD,NULL
744,2021-03-14 06:24:18.000,2021-03-14 06:24:18.000,597,339,NULL,0.00,0,SGD,NULL
747,2021-03-14 12:54:36.000,2021-03-14 12:54:36.000,503,294,NULL,0.00,0,SGD,NULL
748,2021-03-14 17:10:38.000,2021-03-14 17:10:38.000,203,923,NULL,0.00,0,SGD,NULL
749,2021-03-14 22:32:51.000,2021-03-14 22:32:51.000,594,286,NULL,0.00,0,SGD,NULL
754,2021-03-16 05:45:44.000,2021-03-16 05:45:44.000,203,886,NULL,0.00,0,SGD,NULL
756,2021-03-16 12:51:05.000,2021-03-16 12:51:05.000,612,938,NULL,0.00,0,SGD,NULL
760,2021-03-17 03:52:01.000,2021-03-17 03:52:01.000,548,944,NULL,0.00,0,SGD,NULL
761,2021-03-17 06:56:48.000,2023-09-15 13:50:59.000,615,483,NULL,0.00,1,SGD,NULL
762,2021-03-17 06:58:49.000,2021-03-17 06:58:49.000,596,951,NULL,0.00,0,SGD,NULL
765,2021-03-17 12:35:49.000,2021-03-17 12:35:49.000,611,944,NULL,0.00,0,SGD,NULL
769,2021-03-17 21:39:51.000,2021-03-17 21:39:51.000,617,68,NULL,0.00,0,SGD,NULL
770,2021-03-17 21:43:35.000,2021-03-17 21:43:35.000,617,628,NULL,0.00,0,SGD,NULL
771,2021-03-18 00:33:08.000,2021-03-18 00:33:08.000,619,219,NULL,0.00,0,SGD,NULL
773,2021-03-18 06:10:24.000,2021-03-18 06:10:24.000,621,869,NULL,0.00,0,SGD,NULL
774,2021-03-18 15:11:01.000,2021-03-18 15:11:01.000,435,845,NULL,0.00,0,SGD,NULL
775,2021-03-18 15:15:06.000,2021-03-18 15:15:06.000,435,624,NULL,0.00,0,SGD,NULL
776,2021-03-18 15:15:38.000,2021-03-18 15:15:38.000,435,575,NULL,0.00,0,SGD,NULL
777,2021-03-18 15:15:57.000,2021-03-18 15:15:57.000,435,528,NULL,0.00,0,SGD,NULL
779,2021-03-18 22:47:06.000,2021-03-18 22:47:06.000,624,919,NULL,150.00,0,SGD,NULL
781,2021-03-19 07:10:05.000,2021-03-19 07:10:05.000,627,724,NULL,0.00,0,SGD,NULL
782,2021-03-19 09:34:34.000,2021-03-19 09:34:34.000,628,224,NULL,0.00,0,SGD,NULL
785,2021-03-19 13:38:48.000,2021-03-19 13:38:48.000,632,933,NULL,0.00,0,SGD,NULL
786,2021-03-23 07:47:52.000,2021-03-23 07:47:52.000,568,301,149,0.00,0,SGD,NULL
787,2021-03-23 07:47:59.000,2021-03-23 07:47:59.000,568,298,150,0.00,0,SGD,NULL
